Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,171.09364318847656,172.30129484604285,170.05257293773118,171.88486674574472,121465900
2015-01-05,168.00376892089844,170.21083296775836,167.69561616562544,170.0442642543237,169632600
2015-01-06,166.42137145996094,168.83664992952563,165.6218237266185,168.31194633238277,209151400
2015-01-07,168.4951629638672,168.83663711095127,167.304184505805,167.75392133465348,125346700
2015-01-08,171.4851531982422,171.70170402783404,169.89440689586533,169.9110548763093,147217800
2015-01-09,170.11099243164062,171.9182900673524,169.4946738571143,171.90162937388263,158567300
2015-01-12,168.77833557128906,170.40241563326305,168.1703539893546,170.24417089217803,144396100
2015-01-13,168.3035888671875,171.13529497229362,166.99599848308458,170.00260998857567,214553300
2015-01-14,167.28750610351562,167.48739617759983,165.38027089159255,166.2797444540271,192991100
2015-01-15,165.75506591796875,168.2452981446469,165.63846654322506,167.9288213894162,176613900
2015-01-16,167.92884826660156,168.0870930237335,165.36364890329924,165.5468783369909,211879600
2015-01-20,168.28695678710938,168.83664504360124,166.71285874961336,168.57012490407317,130991100
2015-01-21,169.1365203857422,169.61957874026967,167.3542077644637,167.82060542859142,122942700
2015-01-22,171.6516876220703,171.7849349710107,168.5118158290277,169.8943603298599,174356000
2015-01-23,170.71054077148438,171.65167236864735,170.57728072600727,171.39347626489396,117516800
2015-01-26,171.11036682128906,171.20198154539423,169.77780403511954,170.49406113947404,92009700
2015-01-27,168.85333251953125,170.002665855554,168.02047601393534,169.04488595747142,134044600
2015-01-28,166.68785095214844,170.144199339173,166.49629757117222,170.04426065490335,168514300
2015-01-29,168.22869873046875,168.48688222704584,165.471932881139,166.88779917965473,173585400
2015-01-30,166.11317443847656,168.37854442674876,165.8466670501739,167.04598206848007,197729700
2015-02-02,168.17030334472656,168.26191802469228,164.7889095887882,166.6128664936849,163107000
2015-02-03,170.60231018066406,170.6106468784307,168.6950745240688,169.0698573805268,124212900
2015-02-04,169.9526824951172,171.05205909194265,169.4946089131066,169.83608310227638,134306700
2015-02-05,171.66835021972656,171.8182709740744,170.5440017498259,170.61895577281,97953200
2015-02-06,171.19363403320312,172.60116336997706,170.6689304392062,172.03481441467594,125672000
2015-02-09,170.42738342285156,171.26856368461267,170.01927927355732,170.5439827928816,87219000
2015-02-10,172.24301147460938,172.501194897424,170.46902346724863,171.46846120616547,96164200
2015-02-11,172.34291076660156,172.77599950723376,171.42677665986616,172.07640341662656,91087800
2015-02-12,174.00035095214844,174.05865699795564,172.3762835755281,173.14250990941105,97545900
2015-02-13,174.71661376953125,174.76658311996,173.86709668710282,174.12529284495133,93670400
2015-02-17,174.99151611328125,175.16642160634123,174.1503354483729,174.4001822836239,76968200
2015-02-18,175.0081024169922,175.0830564357079,174.35013880814398,174.61665893030502,80652900
2015-02-19,174.88320922851562,175.24966813215974,174.26690353455237,174.40848761852723,91462500
2015-02-20,175.93258666992188,176.00754069427418,173.8421090181995,174.46675130456183,140896400
2015-02-23,175.90760803222656,175.90760803222656,175.2996137026009,175.68273324307214,74411100
2015-02-24,176.40733337402344,176.60722350920213,175.53283150664134,175.8326603552186,72472300
2015-02-25,176.25743103027344,176.7654740205243,175.91595680389227,176.2824157094348,73061700
2015-02-26,176.0491485595703,176.32399263203823,175.44115438030323,176.16574791985573,72697900
2015-02-27,175.44952392578125,176.2157502523171,175.3995545774997,175.9492301169762,108076000
2015-03-02,176.55722045898438,176.6155137945485,175.49948934663735,175.54945869380066,87491400
2015-03-03,175.83265686035156,176.60721999893983,174.96649170855645,176.1241617131455,110325800
2015-03-04,175.0913848876953,175.30793566956666,174.11694449441194,175.23296894056082,114497200
2015-03-05,175.28294372558594,175.56611181957166,174.77490087066866,175.41619107615773,76873000
2015-03-06,172.81773376464844,174.84990577575223,172.48459622869603,174.4168168123082,188128000
2015-03-09,173.53399658203125,173.8921188094777,172.85938478920772,173.01762957189626,89818900
2015-03-10,170.7188720703125,172.24300054624206,170.67722671577013,172.15972254553526,157121300
2015-03-11,170.319091796875,171.15194799148074,170.23580109406362,170.97704259892765,110145700
2015-03-12,172.48458862304688,172.551205960594,170.902153626094,170.95212298344524,93993500
2015-03-13,171.42678833007812,173.17577867566206,170.38571810947693,172.2096751693105,162410900
2015-03-16,173.7172088623047,173.80882358488438,171.45183818431738,172.1597712868315,136099200
2015-03-17,173.20082092285156,173.58392774659123,172.38461250841834,172.97594613859914,94510400
2015-03-18,175.28294372558594,175.95755530000199,172.08476585266823,172.726068766536,228808500
2015-03-19,174.4833984375,175.29127008178068,174.09195495178136,174.8665179350638,117917300
2015-03-20,176.0235595703125,176.53387028228119,175.25391292957588,175.4379602529159,177715100
2015-03-23,175.6805419921875,176.60913965332188,175.6805419921875,176.0319015443591,71784500
2015-03-24,174.6934051513672,176.01518096173757,174.62647769329277,175.5550754307756,77805300
2015-03-25,172.1334686279297,175.1367791112532,172.0916501383181,174.9025394029587,159521700
2015-03-26,171.72360229492188,172.64382632384115,170.76153423478013,171.46426631618,153067200
2015-03-27,172.11672973632812,172.29240311805077,171.4139979141211,171.6064191142437,118939000
2015-03-30,174.2165985107422,174.51776577027277,173.13742327707232,173.15414557224398,96180400
2015-03-31,172.69400024414062,174.09109034504394,172.6354466899418,173.38835833889635,126768700
2015-04-01,172.08331298828125,172.68564744259518,171.08778763281487,172.66055123742456,137303600
2015-04-02,172.70237731933594,173.1541217639626,171.83233301582743,172.01638035829617,86900900
2015-04-06,173.86520385742188,174.38387573583546,171.67338371046566,171.8072258704668,114368200
2015-04-07,173.4050750732422,174.64320114306742,173.37161772653664,173.89028957367137,81236300
2015-04-08,173.9906768798828,174.43406012947273,173.2377652996642,173.63095614592058,89351900
2015-04-09,174.76031494140625,174.99455465554132,173.32978045616042,173.82335608486596,85548900
2015-04-10,175.71400451660156,175.7558357713305,174.81051579301152,175.01128539153964,72722900
2015-04-13,174.9193115234375,176.20764305118132,174.8691191095195,175.57183843459228,74436600
2015-04-14,175.2539520263672,175.4379993907657,174.09111427772777,174.7185449931471,75099900
2015-04-15,176.04025268554688,176.5505633129396,175.63870075804124,175.7223632602783,99529300
2015-04-16,175.99005126953125,176.500361870767,175.50483686465913,175.70561920067325,68934900
2015-04-17,173.96554565429688,175.0363592601881,173.1791641201038,174.79375843788208,191113200
2015-04-20,175.55503845214844,175.8896629069283,174.81048818992426,174.89413792106686,92189500
2015-04-21,175.34596252441406,176.4000414516232,175.04479529305294,176.24109030658406,72559800
2015-04-22,176.20762634277344,176.3916736864279,174.76034379811696,175.6889416628794,78264600
2015-04-23,176.65098571777344,177.3035124786743,175.68891786713732,175.8060377276809,102585900
2015-04-24,177.0609130859375,177.32862294019844,176.6091686632577,177.06928699707592,61327400
2015-04-27,176.32470703125,177.7552414347737,176.1322858187617,177.62976043976505,79358100
2015-04-28,176.88525390625,176.93544631668829,175.12008180355005,176.2996545092876,86863500
2015-04-29,176.1573944091797,176.75971594904973,175.3459166028951,175.99006939604806,125684900
2015-04-30,174.3922576904297,175.9733823665252,173.68952568374706,175.58019148407365,161304900
2015-05-01,176.2828826904297,176.32471394544166,175.07821403068309,175.17859883062636,103399700
2015-05-04,176.7848358154297,177.3704351021855,176.6007885017197,176.7095344488341,70927200
2015-05-05,174.76031494140625,176.90195524438084,174.61809888390331,176.54222176296173,113326200
2015-05-06,174.0408935546875,175.62201830573386,172.9700795838788,175.31248993193884,135060200
2015-05-07,174.73521423339844,175.1618751600079,173.60584694761823,173.94047145486275,88244900
2015-05-08,177.03582763671875,177.23661003961092,176.33310837425998,176.4167709000757,155877300
2015-05-11,176.19091796875,177.2617320766728,176.11562934360958,176.99403493224764,75708100
2015-05-12,175.66384887695312,176.20762977200917,174.52610744181493,175.3543205043782,119727600
2015-05-13,175.6973114013672,176.70119785602358,175.46307165411767,176.07376722622473,94667900
2015-05-14,177.52938842773438,177.62141208573615,176.44183958728814,176.71791056129345,95934000
2015-05-15,177.7218017578125,177.86401782132825,177.23658725370188,177.7218017578125,76510100
2015-05-18,178.27398681640625,178.5249488920376,177.4876049391329,177.55453241433813,74549700
2015-05-19,178.21536254882812,178.66711966831448,177.93093044551094,178.39104870976314,72114600
2015-05-20,178.08990478515625,178.84281639571523,177.77200253108956,178.31577060925903,76857500
2015-05-21,178.60855102539062,178.81769452776226,177.7803381605606,177.94766317454298,64764600
2015-05-22,178.18194580078125,178.6420514047552,178.11501833208644,178.22376429924475,57433500
2015-05-26,176.26617431640625,178.11500884089196,175.84788723318502,177.6883478463367,124308600
2015-05-27,177.9393310546875,178.17357081114758,176.31637505270746,176.72630100906727,93214000
2015-05-28,177.73854064941406,177.8472866032095,177.04418260777717,177.62978193051072,74974600
2015-05-29,176.63427734375,177.7134524528389,176.3665802356876,177.67163395462651,124919600
2015-06-01,176.99398803710938,177.63814090167725,176.19923243194117,177.3035163685279,93338800
2015-06-02,176.81834411621094,177.51270231528696,175.90648119511897,176.53391191854917,91531000
2015-06-03,177.2867889404297,177.91421954091186,176.79321326500968,177.35371640296077,87820900
2015-06-04,175.789306640625,177.23657615173047,175.47140442143973,176.57568827854223,151882800
2015-06-05,175.48814392089844,176.1657668662336,174.82724326586523,175.63872112425867,121704700
2015-06-08,174.408935546875,175.52995435437154,174.3336469541261,175.3793644037682,89063300
2015-06-09,174.38385009765625,174.92763086405006,173.74805844452405,174.38385009765625,105034700
2015-06-10,176.4752960205078,176.86012570609938,175.09495392272834,175.1535074692772,134551300
2015-06-11,177.04420471191406,177.42902170128036,176.68447116260958,176.9187109209481,73876400
2015-06-12,175.68890380859375,176.9186686284496,175.41283285259485,176.2159495214195,135382400
2015-06-15,174.93600463867188,175.2204367594158,173.8317207368087,174.5428138037758,124384200
2015-06-16,175.88973999023438,175.9734025231466,174.60978238036085,174.78545582832217,85308200
2015-06-17,176.17410278320312,176.7848109496627,175.14512041227093,176.17410278320312,126708600
2015-06-18,178.0062255859375,178.47470501217347,176.20759648197296,176.77646070951462,165867900
2015-06-19,177.2160186767578,177.83809935991428,176.83773174298938,177.76244453860045,130478700
2015-06-22,178.12396240234375,178.71241032555676,177.9138015135389,178.14077886506487,70696000
2015-06-23,178.24998474121094,178.58624972933333,177.8548942243634,178.33405419504095,68476800
2015-06-24,176.9554443359375,178.35931734318652,176.9302260588828,177.98103036016508,92307300
2015-06-25,176.41748046875,177.5859746527855,176.34182561724947,177.45988323361792,97107400
2015-06-26,176.38381958007812,177.02270400146918,175.8289918096272,176.7789102111795,104174800
2015-06-29,172.6849822998047,176.392223128943,172.60932746505532,174.89587875918133,202621300
